|ID|name|fa_18|fa_17|fa_16|fa_15|fa_14|fa_13|fa_12|fa_11|fa_10|em_18|em_17|em_16|em_15|em_14|em_13|em_12|em_11|em_10|ec_18|ec_17|ec_16|ec_15|ec_14|ec_13|ec_12|ec_11|ec_10|mc_18|mc_17|mc_16|mc_15|mc_14|mc_13|mc_12|mc_11|mc_10|s_18|s_17|s_16|s_15|s_14|s_13|s_12|s_11|s_10|year_cor
10|40|DALLI-WERKE GMBH & CO. KG|184277.017679|166051.803046|120167.082774|122530.430193|92832.25252799998|77654.31620000002|83069.805276|85366.00293200002|80549.39440000002|2464648.8000000003|2570869.0|2583465.8|2416581.0|2353907.0|2498407.8000000003|2601858.5999999996|2643782.4|2668780.8|118137.86500041146|120793.90482496028|126261.77296937461|114391.52337305264|114143.84723726976|111936.30912725457|112005.85438180203|109519.02474122956|108221.12492253521|538889.4450382325|575801.1295208123|578499.2127163801|532885.0379135091|552988.886993909|580977.8652434254|556765.0297787699|577848.9355932437|462136.5133661971|883777.2904711039|964397.3132500174|980126.3318908155|910700.1083243095|921003.2438727384|932559.7099250257|871235.3822935986|885511.231671472|771065.9298873239|1937
11|42|KURARAY EUROPE GMBH|271895.32939999|260650.10477784|255161.90293164|263411.3333643|281007.169434|225613.527823896|210137.40706296996|215077.92741506|209259.80678836|1000773.0|931891.0|944310.2999999999|836962.2|788121.0|774740.4|737586.2999999999|706070.4|665871.4|70766.18393488473|66235.4969163285|60658.587912783165|57775.681009916036|51978.142244621566|48472.87350459038|44677.165743128724|41591.786132489025|41187.353624788724|565063.0802170535|538619.6567044589|479652.54270639305|385700.0220414978|378314.22694738564|318195.5125124994|336580.2665467005|306460.1412382594|255319.4681737324|861489.8371191348|828189.313660512|740377.2218908147|622958.0868260999|591619.4656505092|504965.68573439337|534121.6033323897|507107.4023520858|468585.9813252113|1991
12|48|GELITA AG|202818.69638400004|195190.002858|188671.91500799998|177725.90661600002|172556.72334599998|170594.23121600001|174913.986417|173252.56541|162364.19851000002|3291431.2|3260965.0|3198638.9|3117324.0|3347227.0|3292646.7|3296211.5999999996|3186607.2|3226100.6|148879.50998931236|141694.23917901135|130479.20872170482|132788.25731189112|129351.67446534408|122703.27177289133|123490.30504707241|108723.05040483212|108388.66388028169|323995.925347366|353450.21468178317|322989.6701065257|360662.13982168277|364858.7158220818|417482.7584591668|363563.4839385289|282726.3096311787|210194.3902394366|687107.6635698453|704077.5979475272|692585.3229027987|674606.1688192673|667300.0545148719|724893.4430993233|655650.9097516848|530423.8358711188|459890.2984929578|1875
13|49|KRONOS TITAN GMBH|106963.99695300002|106141.680566|99646.34095799999|102297.85611|111210.185304|115573.61128800001|118916.506858|122540.03222000001|120746.63213600003|1233632.6|1259948.0|1248631.5999999999|1358262.5999999999|1391955.0|1379193.9000000001|1391326.2|1355071.2|1301295.4|85619.0084683058|79837.85218902564|65139.41145139836|78765.92317306918|81880.4602456367|76470.97550878506|75698.3468182396|77987.56626371489|75127.11161971831|340416.0157855803|269446.49342050723|315240.8258988026|331631.21306557895|323066.7115452898|377312.0213486178|370850.22570499853|389643.5702742342|323807.17040140845|726307.0798322806|791511.4491434221|615087.2786284974|600926.2678110177|615347.9427447034|684889.402929431|752623.195857484|743793.5252815096|540014.5941478872|1985
14|50|OQEMA AG|79593.012|74757.45|72791.53199999999|69554.24399999999|46542.03|42407.330271360006|40691.21672789|37183.38822888|22936.266352020004|1055717.4000000001|101946.0|1020064.1|929958.0|841708.0|651249.9|543691.5|560078.4|492453.6|41641.371372194495|37037.8217330132|34967.37683089226|31501.37488542632|24839.21174103444|21019.888837719394|19573.22542731864|18565.839957266096|17564.794938521125|580720.8747841836|547911.2803111791|481928.4287616528|445457.8785101256|371049.8420386572|298425.9292888673|265976.98882861296|257944.92285861165|218872.75104521128|693695.3054345169|653832.6574526172|581043.275632492|526230.1474877112|438170.85772553866|355445.4441838853|321207.4631882336|313788.6112349212|273223.81475274643|1922
15|52|GRÜNENTHAL GMBH|1777695.5007550002|1109852.082606|896478.3462960001|824456.904978|747208.400187|499667.55843200005|452819.9756509999|489496.529386|454975.614718|1746447.0|1950044.0|1908212.0999999999|1819312.2|1880773.0|2105838.0|2180006.4|2180589.6|2157794.0|153410.17840993227|148791.8563270706|151717.70972037333|140243.3130572457|139713.69848047558|139331.0751158461|144599.4961062232|134968.43111688542|139342.28169014084|100600.50974266251|153199.371017131|142538.9480692415|126834.43046412843|144866.9141546109|93104.46733666041|116645.7035550977|115745.75539785907|105601.12676056338|614027.7247389646|649571.6424728937|681615.8079227719|630617.1865677881|564097.1617533254|466619.12237831|543058.0185563063|507044.63867289934|473746.3488802817|1946
16|59|URENCO DEUTSCHLAND GMBH|354062.5379872099|412817.84853186|459404.68875354|509728.65234801004|566645.4296404799|608939.94096952|678933.58728884|764059.4151840002|649401.85728322|354522.2|362039.0|359177.5|352336.2|339820.0|318475.5|330145.19999999995|334454.4|326978.6|26315.25184247316|25538.896247620538|29182.062233688514|24326.645679526784|22606.719022096375|21399.011185655665|20657.494000524737|19577.401717916706|20434.829213521127|34506.289103017465|58183.566157411056|75904.38647137175|23325.230750770846|55546.70086892394|36099.01329469508|36069.809851684724|21669.663919259212|6617.720910070422|407481.1655117994|427363.2229711149|454048.2625066594|412679.1966569466|373587.86693095224|337446.6420472624|455352.3039866038|386557.1147578043|332802.313181831|1993
17|65|MEDAC GESELLSCHAFT FÜR KLINISCHE SPEZIALPRÄPARATE M.B.H.|126801.13627816003|114323.37041546|60787.5929928|57747.75950133|61377.61232865|57643.27586912001|56083.982068929996|53419.26720292001|46433.91661226001|2248795.8000000003|2241505.0|1849437.5999999999|1717147.8|1572321.0|1406491.8|1259006.0999999999|1076359.2|953136.0|119798.44263093028|105544.5178713892|100532.4090579231|93420.49215898708|84130.76871470908|72403.2030429671|63960.03547240325|57397.50920560772|49666.01649852112|120335.05408862987|107639.41152031746|104970.60753994709|88074.75114740469|80054.34514976737|93973.27088587386|109292.64299064045|94728.28002384442|99790.79579154929|440996.9974940408|426595.20579988277|421789.5929061266|374992.972755605|336180.89270020573|326936.6064684893|303804.18516494543|296292.0702883083|273734.39050295774|1970
18|68|RENOLIT SE|242919.27177226|214755.14203036|209228.02854084|211670.80710441002|223463.89941846003|225029.92349640004|241701.71799999996|224432.78319947998|228591.29337772|2498662.0|2411415.0|2365347.0999999996|2358949.8|2323846.0|2296923.3000000003|2339838.5999999996|1807646.4000000001|1828167.8|149507.0527863197|141168.59485558176|138887.20523968092|134500.3742954758|133311.71835690612|123674.11876706812|119378.49892816586|87238.61865740646|89607.13797422533|201067.70212940953|193132.0212662412|165652.41629161176|176732.5601366559|190892.51034341796|192241.52926601827|189118.0438197393|139246.0320044804|135356.0624240845|455569.87615555525|457000.8940594208|427511.9605725713|432442.03640363447|424820.6472058368|419469.2458413193|419274.11111098365|304706.4169661024|308671.3085324647|1948
19|77|BERZELIUS STOLBERG GMBH|55923.25539583001|58147.90346196|56794.72219056|57332.97617970001|53634.83100351|38515.77853632|35285.1880844|34529.133172480004|32774.3848632|361063.2|358118.0|342198.19999999995|327450.0|309759.0|287277.9|272500.8|266767.2|254169.59999999998|22974.892861958473|21538.594978068286|19983.748531957455|19036.532312307376|17182.720269353675|16066.925845504986|14672.877717973006|14171.496950353532|13319.120052253522|351891.61715695256|433906.28797152877|457107.5259187765|440630.4775935354|381040.672155717|405252.88150108175|452332.9675516237|474532.2943562404|386364.273424507|384353.3170467825|506116.8954597351|571052.7882623188|495179.2852295659|398089.80492839386|453635.39807450736|559168.8729074553|600733.5181322003|436453.6094054929|1942
